"Label","Location","Function Signature","Function Size"
"lua_isnumber","14c988960","undefined lua_isnumber()","48"
"lua_isnumber","141a117a0","thunk undefined lua_isnumber()","5"
"lua_isstring","14c988ca0","undefined lua_isstring()","49"
"lua_isstring","141a117d0","thunk undefined lua_isstring()","5"
"lua_lessthan","14c989590","undefined lua_lessthan()","74"
"lua_lessthan","141a11840","thunk undefined lua_lessthan()","5"
"lua_load","14c9898e0","undefined lua_load()","70"
"lua_load","141a11890","thunk undefined lua_load()","5"
"lua_newstate","14c9a52c0","lua_State * lua_newstate(lua_Alloc f, void * ud)","442"
"lua_newstate","141a168a0","thunk lua_State * lua_newstate(lua_Alloc f, void * ud)","5"
"lua_newstateUnk","141a16890","lua_State * lua_newstateUnk(lua_Alloc f, void * ud)","8"
"lua_newthread","14c989a70","undefined lua_newthread()","63"
"lua_newthread","141a118e0","thunk undefined lua_newthread()","5"
"lua_newuserdata","14c989bf0","undefined lua_newuserdata()","110"
"lua_newuserdata","141a11920","thunk undefined lua_newuserdata()","5"
"lua_next","14c98a010","undefined lua_next()","58"
"lua_next","141a11990","thunk undefined lua_next()","5"
"lua_objlen","14c98a230","undefined lua_objlen()","120"
"lua_objlen","141a119d0","thunk undefined lua_objlen()","5"
"lua_openlib","1431cc520","undefined lua_openlib()","132"
"lua_openlib","14006b810","thunk undefined lua_openlib()","5"
"lua_pcall","14c98acb0","undefined lua_pcall()","130"
"lua_pcall","141a11a50","thunk undefined lua_pcall()","5"
"lua_pushboolean","14c98b310","undefined lua_pushboolean()","28"
"lua_pushboolean","141a11ae0","thunk undefined lua_pushboolean()","5"
"lua_pushcclosure","14c98c080","undefined lua_pushcclosure()","195"
"lua_pushcclosure","141a11b00","thunk undefined lua_pushcclosure()","5"
"lua_pushfstring","14c98c4b0","undefined lua_pushfstring()","69"
"lua_pushfstring","141a11bc0","thunk undefined lua_pushfstring()","5"
"lua_pushinteger","14c98c7c0","undefined lua_pushinteger()","29"
"lua_pushinteger","141a11c10","thunk undefined lua_pushinteger()","5"
"lua_pushlightuserdata","14c98c9e0","undefined lua_pushlightuserdata()","20"
"lua_pushlightuserdata","141a11c30","thunk undefined lua_pushlightuserdata()","5"
"lua_pushlstring","14c98ccc0","void lua_pushlstring(lua_State * L, char * s, size_t l)","105"
"lua_pushlstring","141a11c50","thunk void lua_pushlstring(lua_State * L, char * s, size_t l)","5"
"lua_pushnil","14c98d570","void lua_pushnil(lua_State * L)","17"
"lua_pushnil","141a11cc0","thunk void lua_pushnil(lua_State * L)","5"
"lua_pushnumber","14c98d800","undefined lua_pushnumber()","21"
"lua_pushnumber","141a11ce0","thunk undefined lua_pushnumber()","5"
"lua_pushstring","14c98dcb0","undefined lua_pushstring()","37"
"lua_pushstring","141a11d00","thunk undefined lua_pushstring()","5"
"lua_pushthread","14c98df80","undefined lua_pushthread()","36"
