"Label","Location","Function Signature","Function Size"
"luaL_buffinit","14c1fe910","undefined luaL_buffinit()","19"
"luaL_buffinit","141a170e0","thunk undefined luaL_buffinit()","5"
"luaL_callmeta","14c1fec20","undefined luaL_callmeta()","125"
"luaL_callmeta","141a17100","thunk undefined luaL_callmeta()","5"
"luaL_checkany","14c1ff2f0","undefined luaL_checkany()","53"
"luaL_checkany","141a17180","thunk undefined luaL_checkany()","5"
"luaL_checkinteger","14c1ff430","undefined luaL_checkinteger()","80"
"luaL_checkinteger","141a171c0","thunk undefined luaL_checkinteger()","5"
"luaL_checklstring","14c1ff790","undefined luaL_checklstring()","130"
"luaL_checklstring","141a17210","thunk undefined luaL_checklstring()","5"
"luaL_checknumber","14c1ffb30","undefined luaL_checknumber()","84"
"luaL_checknumber","141a172a0","thunk undefined luaL_checknumber()","5"
"luaL_checkoption","14c1ffd60","undefined luaL_checkoption()","192"
"luaL_checkoption","141a17300","thunk undefined luaL_checkoption()","5"
"luaL_checkstack","14c200010","undefined luaL_checkstack()","54"
"luaL_checkstack","141a173c0","thunk undefined luaL_checkstack()","5"
"luaL_checktype","14c2004c0","undefined luaL_checktype()","61"
"luaL_checktype","141a17400","thunk undefined luaL_checktype()","5"
"luaL_checkudata","14c200630","undefined luaL_checkudata()","187"
"luaL_checkudata","141a17440","thunk undefined luaL_checkudata()","5"
"luaL_error","14c2008f0","undefined luaL_error()","83"
"luaL_error","141a17500","thunk undefined luaL_error()","5"
"luaL_findtable","14c200aa0","undefined luaL_findtable()","300"
"luaL_findtable","141a17560","thunk undefined luaL_findtable()","5"
"luaL_getmetafield","14c200d50","undefined luaL_getmetafield()","117"
"luaL_getmetafield","141a17690","thunk undefined luaL_getmetafield()","5"
"luaL_gsub","141a17710","undefined luaL_gsub()","1104"
"luaL_loadbuffer","14c200f90","void luaL_loadbuffer(lua_State * L, char * buff, size_t size, char * name)","36"
"luaL_loadbuffer","141a17b60","thunk void luaL_loadbuffer(lua_State * L, char * buff, size_t size, char * name)","5"
"luaL_loadfile","141a17b90","undefined luaL_loadfile()","528"
"luaL_newmetatable","14c2013c0","undefined luaL_newmetatable()","126"
"luaL_newmetatable","141a17df0","thunk undefined luaL_newmetatable()","5"
"luaL_newstate","14c201490","lua_State * luaL_newstate(void)","51"
"luaL_newstate","141a17e70","thunk lua_State * luaL_newstate(void)","5"
"luaL_newstate","146c78440","thunk lua_State * luaL_newstate(void)","5"
"luaL_newstate","140bf2c90","thunk lua_State * luaL_newstate(void)","5"
"luaL_open_foxmath","14325c880","undefined luaL_open_foxmath()","133"
"luaL_open_foxmath","1400d9430","thunk undefined luaL_open_foxmath()","5"
"luaL_openlibs","14c1fd0c0","undefined luaL_openlibs()","96"
"luaL_openlibs","141a16c00","thunk undefined luaL_openlibs()","5"
"luaL_optinteger","14c201a70","undefined luaL_optinteger()","97"
"luaL_optinteger","141a18030","thunk undefined luaL_optinteger()","5"
"luaL_optlstring","14c201de0","undefined luaL_optlstring()","115"
"luaL_optlstring","141a180a0","thunk undefined luaL_optlstring()","5"
"luaL_prepbuffer","14c202140","undefined luaL_prepbuffer()","80"
"luaL_prepbuffer","141a18190","thunk undefined luaL_prepbuffer()","5"
"luaL_pushresult","14c202280","undefined luaL_pushresult()","77"
"luaL_pushresult","141a181f0","thunk undefined luaL_pushresult()","5"
"luaL_typerror","141a184c0","undefined luaL_typerror()","100"
"luaL_where","14c203350","undefined luaL_where()","138"
"luaL_where","141a183f0","thunk undefined luaL_where()","5"
"luaM_realloc_","14c219140","undefined luaM_realloc_()","110"
"luaM_realloc_","141a276a0","thunk undefined luaM_realloc_()","5"
"luaM_toobig","14c219ad0","undefined luaM_toobig()","23"
"luaM_toobig","141a27710","thunk undefined luaM_toobig()","5"
"luaO_pushfstring","14c20c020","undefined luaO_pushfstring()","34"
"luaO_pushfstring","141a1fca0","thunk undefined luaO_pushfstring()","5"
"luaO_pushvfstring","141a1fcd0","undefined luaO_pushvfstring()","801"
"luaO_rawequalObj","14c20c140","undefined luaO_rawequalObj()","96"
"luaO_rawequalObj","141a20060","thunk undefined luaO_rawequalObj()","5"
"luaopen_base","14c21d5c0","undefined luaopen_base()","46"
"luaopen_base","141a2f4d0","thunk undefined luaopen_base()","5"
"luaopen_bit","14c21f4b0","undefined luaopen_bit()","197"
"luaopen_bit","141a37730","thunk undefined luaopen_bit()","5"
"luaopen_debug","14c21ea00","undefined luaopen_debug()","33"
"luaopen_debug","141a35cf0","thunk undefined luaopen_debug()","5"
"luaopen_Fileunk","1400d9120","undefined luaopen_Fileunk()","139"
"luaopen_foxmath","1400d9d90","undefined luaopen_foxmath()","727"
"luaopen_Gimmick","14065b580","undefined luaopen_Gimmick()","1623"
"luaopen_io","14c21da00","undefined luaopen_io()","751"
"luaopen_math","14c21e800","undefined luaopen_math()","151"
"luaopen_math","141a34dc0","thunk undefined luaopen_math()","5"
"luaopen_os","14c21e020","undefined luaopen_os()","33"
"luaopen_os","141a32190","thunk undefined luaopen_os()","5"
"luaopen_package","14c21ee20","undefined luaopen_package()","660"
"luaopen_package","141a367d0","thunk undefined luaopen_package()","5"
"luaopen_string","14c21e720","undefined luaopen_string()","84"
"luaopen_string","141a33610","thunk undefined luaopen_string()","5"
"luaopen_table","14c21d8d0","undefined luaopen_table()","33"
"luaopen_table","141a30100","thunk undefined luaopen_table()","5"
"luaS_newlstr","14c2137b0","undefined luaS_newlstr()","8"
